node1	label	node2
NDA207620	manufacturer_name	Novartis Pharmaceuticals Corporation
NDA207620	unii	17ERJ0MKGI
NDA207620	unii	80M03YXJ7I
NDA207620	product_type	HUMAN PRESCRIPTION DRUG
NDA207620	spl_set_id	000dc81d-ab91-450c-8eae-8eb74e72296f
NDA207620	route	ORAL
NDA207620	generic_name	SACUBITRIL AND VALSARTAN
NDA207620	brand_name	ENTRESTO
NDA207620	product_ndc	0078-0696
NDA207620	product_ndc	0078-0659
NDA207620	product_ndc	0078-0777
NDA207620	substance_name	SACUBITRIL
NDA207620	substance_name	VALSARTAN
NDA207620	spl_id	9ed0dcad-96f2-4b22-aa47-22d88ef92a8b
NDA207620	application_number	NDA207620
NDA207620	package_ndc	0078-0777-67
NDA207620	package_ndc	0078-0659-35
NDA207620	package_ndc	0078-0777-35
NDA207620	package_ndc	0078-0696-61
NDA207620	package_ndc	0078-0777-61
NDA207620	package_ndc	0078-0696-35
NDA207620	package_ndc	0078-0696-67
NDA207620	package_ndc	0078-0659-61
NDA207620	package_ndc	0078-0777-20
NDA207620	package_ndc	0078-0696-20
NDA207620	package_ndc	0078-0659-67
NDA207620	package_ndc	0078-0659-20
NDA207620	sponsor_name	NOVARTIS PHARMS CORP
NDA207620	product_number	002
NDA207620	product_number	003
NDA207620	product_number	001
NDA207620	application_number	NDA207620
NDA207620	submission_status_date	20160212
NDA207620	submission_status_date	20160511
NDA207620	submission_status_date	20171122
NDA207620	submission_status_date	20150707
NDA207620	submission_status_date	20191001
NDA207620	submission_status_date	20161221
