node1	label	node2
0078-0696-20	marketing_start_date	20150707
0078-0696-20	sample	False
0078-0696-20	description	60 TABLET, FILM COATED in 1 BOTTLE (0078-0696-20)
0078-0696-67	marketing_start_date	20150707
0078-0696-67	sample	False
0078-0696-67	description	180 TABLET, FILM COATED in 1 BOTTLE (0078-0696-67)
0078-0777-20	marketing_start_date	20150707
0078-0777-20	sample	False
0078-0777-20	description	60 TABLET, FILM COATED in 1 BOTTLE (0078-0777-20)
0078-0777-67	marketing_start_date	20150707
0078-0777-67	sample	False
0078-0777-67	description	180 TABLET, FILM COATED in 1 BOTTLE (0078-0777-67)
0078-0659-20	marketing_start_date	20150707
0078-0659-20	sample	False
0078-0659-20	description	60 TABLET, FILM COATED in 1 BOTTLE (0078-0659-20)
0078-0659-35	marketing_start_date	20150707
0078-0659-35	sample	False
0078-0659-35	marketing_end_date	20201231
0078-0659-35	description	100 BLISTER PACK in 1 BOX, UNIT-DOSE (0078-0659-35)  > 1 TABLET, FILM COATED in 1 BLISTER PACK (0078-0659-61)
0078-0659-67	marketing_start_date	20150707
0078-0659-67	sample	False
0078-0659-67	description	180 TABLET, FILM COATED in 1 BOTTLE (0078-0659-67)
