node1	label	node2
d76a0419-05ee-437e-884c-65807aea9569	is_original_packager	True
d76a0419-05ee-437e-884c-65807aea9569	manufacturer_name	Novartis Pharmaceuticals Corporation
d76a0419-05ee-437e-884c-65807aea9569	unii	0J48LPH2TH
d76a0419-05ee-437e-884c-65807aea9569	unii	80M03YXJ7I
d76a0419-05ee-437e-884c-65807aea9569	upc	0300780471343
d76a0419-05ee-437e-884c-65807aea9569	upc	0300780472340
000dc81d-ab91-450c-8eae-8eb74e72296f	is_original_packager	True
000dc81d-ab91-450c-8eae-8eb74e72296f	manufacturer_name	Novartis Pharmaceuticals Corporation
000dc81d-ab91-450c-8eae-8eb74e72296f	unii	17ERJ0MKGI
000dc81d-ab91-450c-8eae-8eb74e72296f	unii	80M03YXJ7I
000dc81d-ab91-450c-8eae-8eb74e72296f	is_original_packager	True
000dc81d-ab91-450c-8eae-8eb74e72296f	manufacturer_name	Novartis Pharmaceuticals Corporation
000dc81d-ab91-450c-8eae-8eb74e72296f	unii	17ERJ0MKGI
000dc81d-ab91-450c-8eae-8eb74e72296f	unii	80M03YXJ7I
771afba6-8769-4ea8-afec-358dba0aaefe	is_original_packager	True
771afba6-8769-4ea8-afec-358dba0aaefe	manufacturer_name	Macleods Pharmaceuticals Limited
771afba6-8769-4ea8-afec-358dba0aaefe	unii	0J48LPH2TH
771afba6-8769-4ea8-afec-358dba0aaefe	unii	80M03YXJ7I
771afba6-8769-4ea8-afec-358dba0aaefe	upc	0333342076106
771afba6-8769-4ea8-afec-358dba0aaefe	upc	0333342075109
771afba6-8769-4ea8-afec-358dba0aaefe	upc	0333342078100
771afba6-8769-4ea8-afec-358dba0aaefe	upc	0333342074102
f8b24f6f-17e5-4899-8c70-30a7548e00d8	manufacturer_name	Aphena Pharma Solutions - Tennessee, LLC
f8b24f6f-17e5-4899-8c70-30a7548e00d8	unii	80M03YXJ7I
f8b24f6f-17e5-4899-8c70-30a7548e00d8	rxcui	349201
f8b24f6f-17e5-4899-8c70-30a7548e00d8	rxcui	349200
f8b24f6f-17e5-4899-8c70-30a7548e00d8	rxcui	349199
2da09890-cbb1-a473-cf31-ef78a8b1b350	manufacturer_name	AvPAK
2da09890-cbb1-a473-cf31-ef78a8b1b350	unii	80M03YXJ7I
2da09890-cbb1-a473-cf31-ef78a8b1b350	rxcui	349483
2da09890-cbb1-a473-cf31-ef78a8b1b350	rxcui	349201
2da09890-cbb1-a473-cf31-ef78a8b1b350	rxcui	349200
2da09890-cbb1-a473-cf31-ef78a8b1b350	rxcui	349199
973973a3-9fec-4afc-910f-187f099dfe2d	manufacturer_name	Alembic Pharmaceuticals Inc.
973973a3-9fec-4afc-910f-187f099dfe2d	unii	0J48LPH2TH
973973a3-9fec-4afc-910f-187f099dfe2d	unii	80M03YXJ7I
973973a3-9fec-4afc-910f-187f099dfe2d	rxcui	636045
973973a3-9fec-4afc-910f-187f099dfe2d	rxcui	636042
973973a3-9fec-4afc-910f-187f099dfe2d	rxcui	349353
973973a3-9fec-4afc-910f-187f099dfe2d	rxcui	200284
973973a3-9fec-4afc-910f-187f099dfe2d	rxcui	200285
973973a3-9fec-4afc-910f-187f099dfe2d	upc	0362332081301
973973a3-9fec-4afc-910f-187f099dfe2d	upc	0362332080304
973973a3-9fec-4afc-910f-187f099dfe2d	upc	0362332082308
973973a3-9fec-4afc-910f-187f099dfe2d	upc	0362332083305
973973a3-9fec-4afc-910f-187f099dfe2d	upc	0362332079308
973973a3-9fec-4afc-910f-187f099dfe2d	is_original_packager	True
bfbc596d-e39d-4413-93e5-f5133705db38	manufacturer_name	Proficient Rx LP
bfbc596d-e39d-4413-93e5-f5133705db38	unii	0J48LPH2TH
bfbc596d-e39d-4413-93e5-f5133705db38	unii	80M03YXJ7I
bfbc596d-e39d-4413-93e5-f5133705db38	rxcui	636045
6fba5243-ee00-4825-a04a-321cb6b49c56	is_original_packager	True
6fba5243-ee00-4825-a04a-321cb6b49c56	manufacturer_name	Aurobindo Pharma Limited
6fba5243-ee00-4825-a04a-321cb6b49c56	unii	864V2Q084H
6fba5243-ee00-4825-a04a-321cb6b49c56	unii	0J48LPH2TH
6fba5243-ee00-4825-a04a-321cb6b49c56	unii	80M03YXJ7I
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	manufacturer_name	Lupin Pharmaceuticals, Inc.
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	unii	80M03YXJ7I
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	rxcui	349483
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	rxcui	349201
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	rxcui	349200
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	rxcui	349199
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	upc	0368180277095
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	upc	0368180279099
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	upc	0368180278092
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	is_original_packager	True
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	manufacturer_name	Lupin Pharmaceuticals, Inc.
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	unii	80M03YXJ7I
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	rxcui	349483
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	rxcui	349201
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	rxcui	349200
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	rxcui	349199
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	upc	0368180277095
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	upc	0368180279099
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	upc	0368180278092
9eb9d98e-7057-4ca0-91ab-2030bc0120a6	is_original_packager	True
5dbb43b1-3ea4-4fa5-a9aa-95d869ae65fe	is_original_packager	True
5dbb43b1-3ea4-4fa5-a9aa-95d869ae65fe	manufacturer_name	Lupin Pharmaceuticals, Inc.
5dbb43b1-3ea4-4fa5-a9aa-95d869ae65fe	unii	864V2Q084H
5dbb43b1-3ea4-4fa5-a9aa-95d869ae65fe	unii	0J48LPH2TH
5dbb43b1-3ea4-4fa5-a9aa-95d869ae65fe	unii	80M03YXJ7I
5dbb43b1-3ea4-4fa5-a9aa-95d869ae65fe	is_original_packager	True
5dbb43b1-3ea4-4fa5-a9aa-95d869ae65fe	manufacturer_name	Lupin Pharmaceuticals, Inc.
5dbb43b1-3ea4-4fa5-a9aa-95d869ae65fe	unii	864V2Q084H
5dbb43b1-3ea4-4fa5-a9aa-95d869ae65fe	unii	0J48LPH2TH
5dbb43b1-3ea4-4fa5-a9aa-95d869ae65fe	unii	80M03YXJ7I
aa7e7d95-520a-461c-b1b3-e588aeb6a613	manufacturer_name	Mylan Pharmaceuticals Inc.
aa7e7d95-520a-461c-b1b3-e588aeb6a613	unii	864V2Q084H
aa7e7d95-520a-461c-b1b3-e588aeb6a613	unii	80M03YXJ7I
aa7e7d95-520a-461c-b1b3-e588aeb6a613	rxcui	722126
aa7e7d95-520a-461c-b1b3-e588aeb6a613	rxcui	722137
aa7e7d95-520a-461c-b1b3-e588aeb6a613	rxcui	722131
