node1	label	node2
PRX_FDA_marketing_start_date	data_type	"string"
PRX_FDA_product_type	data_type	"string"
PRX_ID_product_id	data_type	"external-identifier"
PRX_FDA_marketing_category	data_type	"string"
PRX_FDA_route	data_type	"string"
PRX_FDA_generic_name	data_type	"string"
PRX_FDA_brand_name	data_type	"string"
PRX_FDA_brand_name_base	data_type	"string"
PRX_FDA_labeler_name	data_type	"string"
PRX_FDA_active_ingredients	data_type	"string"
PRX_FDA_finished	data_type	"string"
PRX_ID_spl_id	data_type	"external-identifier"
PRX_FDA_pharm_class	data_type	"string"
PRX_FDA_application_number	data_type	"string"
PRX_FDA_listing_expiration_date	data_type	"string"
PRX_FDA_dosage_form	data_type	"string"
PRX_FDA_sample	data_type	"string"
PRX_FDA_description	data_type	"string"
PRX_FDA_marketing_end_date	data_type	"string"
PRX_FDA_is_original_packager	data_type	"string"
PRX_ID_upc	data_type	"external-identifier"
PRX_FDA_Related RXNorm	data_type	"string"
PRX_FDA_package_label_principal_display_panel	data_type	"string"
PRX_FDA_drug_interactions	data_type	"string"
PRX_FDA_id	data_type	"string"
PRX_FDA_indications_and_usage	data_type	"string"
PRX_FDA_spl_unclassified_section	data_type	"string"
PRX_ID_SPL_SET_ID	data_type	"external-identifier"
PRX_FDA_product_ndc	data_type	"string"
PRX_FDA_substance_name	data_type	"string"
PRX_ID_NDC 3 Segment	data_type	"external-identifier"
PRX_FDA_contraindications	data_type	"string"
PRX_FDA_version	data_type	"string"
PRX_FDA_adverse_reactions	data_type	"string"
PRX_FDA_information_for_patients	data_type	"string"
PRX_FDA_dosage_forms_and_strengths	data_type	"string"
PRX_FDA_clinical_studies_table	data_type	"string"
PRX_FDA_dosage_and_administration	data_type	"string"
PRX_FDA_effective_time	data_type	"string"
PRX_FDA_spl_product_data_elements	data_type	"string"
PRX_FDA_clinical_pharmacology	data_type	"string"
PRX_FDA_clinical_studies	data_type	"string"
PRX_FDA_use_in_specific_populations	data_type	"string"
PRX_FDA_nonclinical_toxicology	data_type	"string"
PRX_FDA_boxed_warning	data_type	"string"
PRX_FDA_overdosage	data_type	"string"
PRX_FDA_warnings_and_cautions	data_type	"string"
PRX_FDA_how_supplied	data_type	"string"
PRX_FDA_set_id	data_type	"string"
PRX_FDA_carcinogenesis_and_mutagenesis_and_impairment_of_fertility	data_type	"string"
PRX_FDA_pregnancy	data_type	"string"
PRX_FDA_pharmacokinetics	data_type	"string"
PRX_FDA_labor_and_delivery	data_type	"string"
PRX_FDA_spl_patient_package_insert	data_type	"string"
PRX_FDA_pediatric_use	data_type	"string"
PRX_FDA_mechanism_of_action	data_type	"string"
PRX_FDA_geriatric_use	data_type	"string"
PRX_FDA_adverse_reactions_table	data_type	"string"
PRX_FDA_pharmacodynamics	data_type	"string"
PRX_FDA_dosage_and_administration_table	data_type	"string"
PRX_FDA_original_packager_product_ndc	data_type	"string"
PRX_FDA_storage_and_handling	data_type	"string"
PRX_FDA_spl_patient_package_insert_table	data_type	"string"
PRX_FDA_spl_medguide	data_type	"string"
PRX_FDA_animal_pharmacology_and_or_toxicology	data_type	"string"
PRX_FDA_recent_major_changes	data_type	"string"
PRX_FDA_indications_and_usage_table	data_type	"string"
PRX_FDA_nursing_mothers	data_type	"string"
PRX_FDA_how_supplied_table	data_type	"string"
PRX_FDA_recent_major_changes_table	data_type	"string"
PRX_FDA_patient_medication_information_table	data_type	"string"
PRX_FDA_patient_medication_information	data_type	"string"
PRX_FDA_information_for_patients_table	data_type	"string"
PRX_FDA_spl_unclassified_section_table	data_type	"string"
PRX_FDA_other_safety_information	data_type	"string"
PRX_FDA_risks	data_type	"string"
PRX_FDA_teratogenic_effects	data_type	"string"
PRX_FDA_product_number	data_type	"string"
PRX_FDA_submission_status_date	data_type	"string"
PRX_FDA_strength	data_type	"string"
PRX_FDA_reference_drug	data_type	"string"
PRX_FDA_route	data_type	"string"
PRX_FDA_marketing_status	data_type	"string"
PRX_FDA_brand_name	data_type	"string"
PRX_FDA_active_ingredients	data_type	"string"
PRX_FDA_reference_standard	data_type	"string"
PRX_FDA_dosage_form	data_type	"string"
