node1	label	node2
Q155472	P176	'Novartis Pharmaceuticals Corporation'@en
Q155472	P652	"0J48LPH2TH"
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Novartis Pharmaceuticals Corporation'@en
Q155472	P652	"17ERJ0MKGI"
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Novartis Pharmaceuticals Corporation'@en
Q155472	P652	"17ERJ0MKGI"
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Macleods Pharmaceuticals Limited'@en
Q155472	P652	"0J48LPH2TH"
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Aphena Pharma Solutions - Tennessee, LLC'@en
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'AvPAK'@en
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Alembic Pharmaceuticals Inc.'@en
Q155472	P652	"0J48LPH2TH"
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Proficient Rx LP'@en
Q155472	P652	"0J48LPH2TH"
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Aurobindo Pharma Limited'@en
Q155472	P652	"864V2Q084H"
Q155472	P652	"0J48LPH2TH"
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Lupin Pharmaceuticals, Inc.'@en
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Lupin Pharmaceuticals, Inc.'@en
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Lupin Pharmaceuticals, Inc.'@en
Q155472	P652	"864V2Q084H"
Q155472	P652	"0J48LPH2TH"
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Lupin Pharmaceuticals, Inc.'@en
Q155472	P652	"864V2Q084H"
Q155472	P652	"0J48LPH2TH"
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Mylan Pharmaceuticals Inc.'@en
Q155472	P652	"864V2Q084H"
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Mylan Pharmaceuticals Inc.'@en
Q155472	P652	"0J48LPH2TH"
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Bryant Ranch Prepack'@en
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Bryant Ranch Prepack'@en
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Direct_Rx'@en
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Direct_Rx'@en
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Direct_Rx'@en
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Novartis Pharmaceuticals Corporation'@en
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Novartis Pharmaceuticals Corporation'@en
Q155472	P652	"864V2Q084H"
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Camber Pharmaceuticals, Inc.'@en
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Solco Healthcare US, LLC'@en
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Alembic Pharmaceuticals Limited'@en
Q155472	P652	"0J48LPH2TH"
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Alembic Pharmaceuticals Limited'@en
Q155472	P652	"0J48LPH2TH"
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Alembic Pharmaceuticals Limited'@en
Q155472	P652	"864V2Q084H"
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Alembic Pharmaceuticals Limited'@en
Q155472	P652	"864V2Q084H"
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Par Pharmaceutical, Inc.'@en
Q155472	P652	"864V2Q084H"
Q155472	P652	"0J48LPH2TH"
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Ohm Laboratories Inc.'@en
Q155472	P652	"80M03YXJ7I"
Q155472	P176	'Ohm Laboratories Inc.'@en
