node1	label	node2
QRX1656356	PRX_FDA_marketing_start_date	^2015-07-07
QRX1656356	PRX_FDA_product_type	'HUMAN PRESCRIPTION DRUG'@en
QRX1656356	PRX_ID_product_id	"0078-0696_9ed0dcad-96f2-4b22-aa47-22d88ef92a8b"
QRX1656356	PRX_FDA_marketing_category	'NDA'@en
QRX1656356	PRX_FDA_route	'ORAL'@en
QRX1656356	PRX_FDA_generic_name	'Sacubitril and Valsartan'@en
QRX1656356	PRX_FDA_brand_name	'ENTRESTO'@en
QRX1656356	PRX_FDA_brand_name_base	'ENTRESTO'@en
QRX1656356	PRX_FDA_labeler_name	'Novartis Pharmaceuticals Corporation'@en
QRX1656356	PRX_FDA_active_ingredients	'SACUBITRIL'@en
QRX1656356	PRX_FDA_active_ingredients	'VALSARTAN'@en
QRX1656356	PRX_FDA_finished	True
QRX1656356	PRX_ID_spl_id	"9ed0dcad-96f2-4b22-aa47-22d88ef92a8b"
QRX1656356	PRX_FDA_pharm_class	'Neprilysin Inhibitor [EPC]'@en
QRX1656356	PRX_FDA_pharm_class	'Neprilysin Inhibitors [MoA]'@en
QRX1656356	PRX_FDA_pharm_class	'Angiotensin 2 Receptor Antagonists [MoA]'@en
QRX1656356	PRX_FDA_pharm_class	'Angiotensin 2 Receptor Blocker [EPC]'@en
QRX1656356	PRX_FDA_application_number	'NDA207620'@en
QRX1656356	PRX_FDA_listing_expiration_date	^2021-12-31
QRX1656356	PRX_FDA_dosage_form	'TABLET, FILM COATED'@en
QRX1656351	PRX_FDA_marketing_start_date	^2015-07-07
QRX1656351	PRX_FDA_product_type	'HUMAN PRESCRIPTION DRUG'@en
QRX1656351	PRX_ID_product_id	"0078-0777_9ed0dcad-96f2-4b22-aa47-22d88ef92a8b"
QRX1656351	PRX_FDA_marketing_category	'NDA'@en
QRX1656351	PRX_FDA_route	'ORAL'@en
QRX1656351	PRX_FDA_generic_name	'Sacubitril and Valsartan'@en
QRX1656351	PRX_FDA_brand_name	'ENTRESTO'@en
QRX1656351	PRX_FDA_brand_name_base	'ENTRESTO'@en
QRX1656351	PRX_FDA_labeler_name	'Novartis Pharmaceuticals Corporation'@en
QRX1656351	PRX_FDA_active_ingredients	'SACUBITRIL'@en
QRX1656351	PRX_FDA_active_ingredients	'VALSARTAN'@en
QRX1656351	PRX_FDA_finished	True
QRX1656351	PRX_ID_spl_id	"9ed0dcad-96f2-4b22-aa47-22d88ef92a8b"
QRX1656351	PRX_FDA_pharm_class	'Neprilysin Inhibitor [EPC]'@en
QRX1656351	PRX_FDA_pharm_class	'Neprilysin Inhibitors [MoA]'@en
QRX1656351	PRX_FDA_pharm_class	'Angiotensin 2 Receptor Antagonists [MoA]'@en
QRX1656351	PRX_FDA_pharm_class	'Angiotensin 2 Receptor Blocker [EPC]'@en
QRX1656351	PRX_FDA_application_number	'NDA207620'@en
QRX1656351	PRX_FDA_listing_expiration_date	^2021-12-31
QRX1656351	PRX_FDA_dosage_form	'TABLET, FILM COATED'@en
QRX1656346	PRX_FDA_marketing_start_date	^2015-07-07
QRX1656346	PRX_FDA_product_type	'HUMAN PRESCRIPTION DRUG'@en
QRX1656346	PRX_ID_product_id	"0078-0659_9ed0dcad-96f2-4b22-aa47-22d88ef92a8b"
QRX1656346	PRX_FDA_marketing_category	'NDA'@en
QRX1656346	PRX_FDA_route	'ORAL'@en
QRX1656346	PRX_FDA_generic_name	'Sacubitril and Valsartan'@en
QRX1656346	PRX_FDA_brand_name	'ENTRESTO'@en
QRX1656346	PRX_FDA_brand_name_base	'ENTRESTO'@en
QRX1656346	PRX_FDA_labeler_name	'Novartis Pharmaceuticals Corporation'@en
QRX1656346	PRX_FDA_active_ingredients	'SACUBITRIL'@en
