node1	label	node2
PRX_FDA_marketing_start_date	label	'marketing_start_date'@en
PRX_FDA_marketing_start_date	description	'marketing_start_date'@en
PRX_FDA_marketing_start_date	data_type	"string"
PRX_FDA_product_type	label	'product_type'@en
PRX_FDA_product_type	description	'product_type'@en
PRX_FDA_product_type	data_type	"string"
PRX_ID_product_id	label	'product_id'@en
PRX_ID_product_id	description	'product_id'@en
PRX_ID_product_id	data_type	"external-identifier"
PRX_FDA_marketing_category	label	'marketing_category'@en
PRX_FDA_marketing_category	description	'marketing_category'@en
PRX_FDA_marketing_category	data_type	"string"
PRX_FDA_route	label	'route'@en
PRX_FDA_route	description	'route'@en
PRX_FDA_route	data_type	"string"
PRX_FDA_generic_name	label	'generic_name'@en
PRX_FDA_generic_name	description	'generic_name'@en
PRX_FDA_generic_name	data_type	"string"
PRX_FDA_brand_name	label	'brand_name'@en
PRX_FDA_brand_name	description	'brand_name'@en
PRX_FDA_brand_name	data_type	"string"
PRX_FDA_brand_name_base	label	'brand_name_base'@en
PRX_FDA_brand_name_base	description	'brand_name_base'@en
PRX_FDA_brand_name_base	data_type	"string"
PRX_FDA_labeler_name	label	'labeler_name'@en
PRX_FDA_labeler_name	description	'labeler_name'@en
PRX_FDA_labeler_name	data_type	"string"
PRX_FDA_active_ingredients	label	'active_ingredients'@en
PRX_FDA_active_ingredients	description	'active_ingredients'@en
PRX_FDA_active_ingredients	data_type	"string"
PRX_FDA_finished	label	'finished'@en
PRX_FDA_finished	description	'finished'@en
PRX_FDA_finished	data_type	"string"
PRX_ID_spl_id	label	'spl_id'@en
PRX_ID_spl_id	description	'spl_id'@en
PRX_ID_spl_id	data_type	"external-identifier"
PRX_FDA_pharm_class	label	'pharm_class'@en
PRX_FDA_pharm_class	description	'pharm_class'@en
PRX_FDA_pharm_class	data_type	"string"
PRX_FDA_application_number	label	'application_number'@en
PRX_FDA_application_number	description	'application_number'@en
PRX_FDA_application_number	data_type	"string"
PRX_FDA_listing_expiration_date	label	'listing_expiration_date'@en
PRX_FDA_listing_expiration_date	description	'listing_expiration_date'@en
PRX_FDA_listing_expiration_date	data_type	"string"
PRX_FDA_dosage_form	label	'dosage_form'@en
PRX_FDA_dosage_form	description	'dosage_form'@en
PRX_FDA_dosage_form	data_type	"string"
PRX_FDA_sample	label	'sample'@en
PRX_FDA_sample	description	'sample'@en
PRX_FDA_sample	data_type	"string"
PRX_FDA_description	label	'description'@en
PRX_FDA_description	description	'description'@en
PRX_FDA_description	data_type	"string"
PRX_FDA_marketing_end_date	label	'marketing_end_date'@en
PRX_FDA_marketing_end_date	description	'marketing_end_date'@en
PRX_FDA_marketing_end_date	data_type	"string"
PRX_FDA_is_original_packager	label	'is_original_packager'@en
PRX_FDA_is_original_packager	description	'is_original_packager'@en
PRX_FDA_is_original_packager	data_type	"string"
PRX_ID_upc	label	'upc'@en
PRX_ID_upc	description	'upc'@en
PRX_ID_upc	data_type	"external-identifier"
PRX_FDA_Related RXNorm	label	'Related RXNorm'@en
PRX_FDA_Related RXNorm	description	'Related RXNorm'@en
PRX_FDA_Related RXNorm	data_type	"string"
PRX_FDA_package_label_principal_display_panel	label	'package_label_principal_display_panel'@en
PRX_FDA_package_label_principal_display_panel	description	'package_label_principal_display_panel'@en
PRX_FDA_package_label_principal_display_panel	data_type	"string"
PRX_FDA_drug_interactions	label	'drug_interactions'@en
PRX_FDA_drug_interactions	description	'drug_interactions'@en
PRX_FDA_drug_interactions	data_type	"string"
PRX_FDA_id	label	'id'@en
PRX_FDA_id	description	'id'@en
PRX_FDA_id	data_type	"string"
PRX_FDA_indications_and_usage	label	'indications_and_usage'@en
PRX_FDA_indications_and_usage	description	'indications_and_usage'@en
PRX_FDA_indications_and_usage	data_type	"string"
PRX_FDA_spl_unclassified_section	label	'spl_unclassified_section'@en
PRX_FDA_spl_unclassified_section	description	'spl_unclassified_section'@en
PRX_FDA_spl_unclassified_section	data_type	"string"
PRX_ID_SPL_SET_ID	label	'SPL_SET_ID'@en
PRX_ID_SPL_SET_ID	description	'SPL_SET_ID'@en
PRX_ID_SPL_SET_ID	data_type	"external-identifier"
PRX_FDA_product_ndc	label	'product_ndc'@en
PRX_FDA_product_ndc	description	'product_ndc'@en
PRX_FDA_product_ndc	data_type	"string"
PRX_FDA_substance_name	label	'substance_name'@en
PRX_FDA_substance_name	description	'substance_name'@en
PRX_FDA_substance_name	data_type	"string"
PRX_ID_NDC 3 Segment	label	'NDC 3 Segment'@en
PRX_ID_NDC 3 Segment	description	'NDC 3 Segment'@en
PRX_ID_NDC 3 Segment	data_type	"external-identifier"
PRX_FDA_contraindications	label	'contraindications'@en
PRX_FDA_contraindications	description	'contraindications'@en
PRX_FDA_contraindications	data_type	"string"
PRX_FDA_version	label	'version'@en
PRX_FDA_version	description	'version'@en
PRX_FDA_version	data_type	"string"
PRX_FDA_adverse_reactions	label	'adverse_reactions'@en
PRX_FDA_adverse_reactions	description	'adverse_reactions'@en
PRX_FDA_adverse_reactions	data_type	"string"
PRX_FDA_information_for_patients	label	'information_for_patients'@en
PRX_FDA_information_for_patients	description	'information_for_patients'@en
PRX_FDA_information_for_patients	data_type	"string"
PRX_FDA_dosage_forms_and_strengths	label	'dosage_forms_and_strengths'@en
PRX_FDA_dosage_forms_and_strengths	description	'dosage_forms_and_strengths'@en
PRX_FDA_dosage_forms_and_strengths	data_type	"string"
PRX_FDA_clinical_studies_table	label	'clinical_studies_table'@en
PRX_FDA_clinical_studies_table	description	'clinical_studies_table'@en
PRX_FDA_clinical_studies_table	data_type	"string"
PRX_FDA_dosage_and_administration	label	'dosage_and_administration'@en
PRX_FDA_dosage_and_administration	description	'dosage_and_administration'@en
PRX_FDA_dosage_and_administration	data_type	"string"
PRX_FDA_effective_time	label	'effective_time'@en
PRX_FDA_effective_time	description	'effective_time'@en
PRX_FDA_effective_time	data_type	"string"
