node1	label	node2
PRX_FDA_active_ingredients	description	'active_ingredients'@en
PRX_FDA_active_ingredients	label	'active_ingredients'@en
PRX_FDA_brand_name	description	'brand_name'@en
PRX_FDA_brand_name	label	'brand_name'@en
PRX_FDA_dosage_form	description	'dosage_form'@en
PRX_FDA_dosage_form	label	'dosage_form'@en
PRX_FDA_marketing_status	description	'marketing_status'@en
PRX_FDA_marketing_status	label	'marketing_status'@en
PRX_FDA_reference_drug	description	'reference_drug'@en
PRX_FDA_reference_drug	label	'reference_drug'@en
PRX_FDA_reference_standard	description	'reference_standard'@en
PRX_FDA_reference_standard	label	'reference_standard'@en
PRX_FDA_route	description	'route'@en
PRX_FDA_route	label	'route'@en
PRX_FDA_strength	description	'strength'@en
PRX_FDA_strength	label	'strength'@en
