node1	label	node2
"69749"	USP	"m87730"
"69749"	GS	"2608"
"69749"	SNOMEDCT_US	"108581009"
"69749"	VANDF	"4020986"
"69749"	MTHSPL	"80M03YXJ7I"
"69749"	NDDF	"006279"
"69749"	ATC	"C09CA03"
"69749"	MMSL	"d04113"
"69749"	MMSL	"5663"
"69749"	language	"ENG"
"69749"	rxcui	"69749"
"69749"	tty	"IN"
"69749"	name	"valsartan"
"69749"	suppress	"N"
"69749"	SNOMEDCT_US	"386876001"
"69749"	SNOMEDCT_US	"386876001"
"69749"	MMSL	"53010"
"69749"	MSH	"D000068756"
"69749"	MSH	"D000068756"
"69749"	MSH	"D000068756"
"69749"	MTHSPL	"80M03YXJ7I"
"69749"	DRUGBANK	"DB00177"
"69749"	DRUGBANK	"DB00177"
"69749"	DRUGBANK	"DB00177"
"69749"	DRUGBANK	"DB00177"
"69749"	SNOMEDCT_US	"108581009"
"317541"	language	"ENG"
"317541"	rxcui	"317541"
"317541"	tty	"DF"
"317541"	name	"Oral Tablet"
"317541"	suppress	"N"
"1151131"	language	"ENG"
"1151131"	rxcui	"1151131"
"1151131"	tty	"DFG"
"1151131"	name	"Oral Product"
"1151131"	suppress	"N"
"1151133"	NDDF	"TX"
"1151133"	language	"ENG"
"1151133"	rxcui	"1151133"
"1151133"	tty	"DFG"
"1151133"	name	"Pill"
"1151133"	suppress	"N"
"1656328"	GS	"5469"
"1656328"	DRUGBANK	"DB09292"
"1656328"	MTHSPL	"17ERJ0MKGI"
"1656328"	language	"ENG"
"1656328"	rxcui	"1656328"
"1656328"	tty	"IN"
"1656328"	name	"sacubitril"
"1656328"	suppress	"N"
"1656328"	MMSL	"31106"
"1656328"	MMSL	"d08368"
"1656328"	NDDF	"016257"
"1656328"	VANDF	"4034598"
"1656328"	SNOMEDCT_US	"716072000"
"1656328"	SNOMEDCT_US	"716072000"
"1656328"	DRUGBANK	"DB09292"
"1656328"	MSH	"C549068"
"1656334"	language	"ENG"
"1656334"	rxcui	"1656334"
"1656334"	tty	"SCDC"
"1656334"	name	"sacubitril 24 MG"
"1656334"	suppress	"N"
"1656335"	language	"ENG"
"1656335"	rxcui	"1656335"
"1656335"	tty	"SCDC"
"1656335"	name	"valsartan 26 MG"
"1656335"	suppress	"N"
"1656336"	SNOMEDCT_US	"764145006"
"1656336"	SNOMEDCT_US	"764145006"
"1656336"	language	"ENG"
"1656336"	rxcui	"1656336"
"1656336"	tty	"SCDG"
"1656336"	name	"sacubitril / valsartan Oral Product"
"1656336"	suppress	"N"
"1656337"	language	"ENG"
"1656337"	rxcui	"1656337"
"1656337"	tty	"SCDG"
"1656337"	name	"sacubitril / valsartan Pill"
"1656337"	suppress	"N"
"1656338"	language	"ENG"
"1656338"	rxcui	"1656338"
"1656338"	tty	"SCDF"
"1656338"	name	"sacubitril / valsartan Oral Tablet"
"1656338"	suppress	"N"
"1656339"	SNOMEDCT_US	"763540002"
"1656339"	SNOMEDCT_US	"763540002"
"1656339"	MSH	"C549068"
"1656339"	MSH	"C549068"
"1656339"	MSH	"C549068"
"1656339"	language	"ENG"
"1656339"	rxcui	"1656339"
"1656339"	tty	"MIN"
"1656339"	name	"sacubitril / valsartan"
"1656339"	suppress	"N"
"1656339"	MMSL	"d08369"
"1656339"	VANDF	"4034599"
"1656339"	ATC	"C09DX04"
"1656340"	language	"ENG"
"1656340"	rxcui	"1656340"
"1656340"	tty	"SCD"
"1656340"	name	"sacubitril 24 MG / valsartan 26 MG Oral Tablet"
"1656340"	suppress	"N"
"1656340"	synonym	"sacubitril 24 MG / valsartan 26 MG Oral Tablet"
"1656340"	MMX	"131872"
"1656340"	MMSL	"30338"
"1656340"	VANDF	"4034603"
"1656340"	VANDF	"4034603"
"1656340"	NDDF	"074408"
"1656340"	NDDF	"074408"
"1656340"	NDDF	"074408"
"1656341"	language	"ENG"
"1656341"	rxcui	"1656341"
"1656341"	tty	"BN"
"1656341"	name	"Entresto"
"1656341"	suppress	"N"
"1656341"	MMSL	"234762"
"1656341"	MSH	"C549068"
"1656342"	language	"ENG"
"1656342"	rxcui	"1656342"
"1656342"	tty	"SBDC"
"1656342"	name	"sacubitril 24 MG / valsartan 26 MG [Entresto]"
"1656342"	suppress	"N"
"1656343"	language	"ENG"
"1656343"	rxcui	"1656343"
"1656343"	tty	"SBDF"
"1656343"	name	"sacubitril / valsartan Oral Tablet [Entresto]"
"1656343"	suppress	"N"
"1656344"	language	"ENG"
"1656344"	rxcui	"1656344"
"1656344"	tty	"SBDG"
"1656344"	name	"Entresto Oral Product"
"1656344"	suppress	"N"
"1656345"	language	"ENG"
"1656345"	rxcui	"1656345"
"1656345"	tty	"SBDG"
"1656345"	name	"Entresto Pill"
"1656345"	suppress	"N"
"1656346"	MTHSPL	"0078-0659"
"1656346"	language	"ENG"
"1656346"	rxcui	"1656346"
"1656346"	tty	"SBD"
"1656346"	name	"sacubitril 24 MG / valsartan 26 MG Oral Tablet [Entresto]"
"1656346"	suppress	"N"
"1656346"	synonym	"Entresto 24 MG / 26 MG Oral Tablet"
"1656346"	synonym	"Entresto (sacubitril 24 MG / valsartan 26 MG) Oral Tablet"
"1656346"	GS	"90669"
"1656346"	MMX	"131872"
"1656346"	MMSL	"30338"
"1656347"	language	"ENG"
"1656347"	rxcui	"1656347"
"1656347"	tty	"SCDC"
"1656347"	name	"sacubitril 49 MG"
"1656347"	suppress	"N"
"1656348"	language	"ENG"
"1656348"	rxcui	"1656348"
"1656348"	tty	"SCDC"
"1656348"	name	"valsartan 51 MG"
"1656348"	suppress	"N"
"1656349"	language	"ENG"
"1656349"	rxcui	"1656349"
"1656349"	tty	"SCD"
"1656349"	name	"sacubitril 49 MG / valsartan 51 MG Oral Tablet"
"1656349"	suppress	"N"
"1656349"	synonym	"sacubitril 49 MG / valsartan 51 MG Oral Tablet"
"1656349"	MMX	"131870"
"1656349"	MMSL	"30339"
"1656349"	VANDF	"4034607"
"1656349"	VANDF	"4034607"
"1656349"	VANDF	"4034604"
"1656349"	VANDF	"4034604"
"1656349"	NDDF	"074409"
"1656349"	NDDF	"074409"
"1656349"	NDDF	"074409"
"1656350"	language	"ENG"
"1656350"	rxcui	"1656350"
"1656350"	tty	"SBDC"
"1656350"	name	"sacubitril 49 MG / valsartan 51 MG [Entresto]"
"1656350"	suppress	"N"
"1656351"	MTHSPL	"0078-0777"
"1656351"	language	"ENG"
"1656351"	rxcui	"1656351"
"1656351"	tty	"SBD"
"1656351"	name	"sacubitril 49 MG / valsartan 51 MG Oral Tablet [Entresto]"
"1656351"	suppress	"N"
"1656351"	synonym	"Entresto 49 MG / 51 MG Oral Tablet"
"1656351"	synonym	"Entresto (sacubitril 49 MG / valsartan 51 MG) Oral Tablet"
"1656351"	GS	"90670"
"1656351"	MMX	"131870"
"1656351"	MMSL	"30339"
"1656352"	language	"ENG"
"1656352"	rxcui	"1656352"
"1656352"	tty	"SCDC"
"1656352"	name	"sacubitril 97 MG"
"1656352"	suppress	"N"
"1656353"	language	"ENG"
"1656353"	rxcui	"1656353"
"1656353"	tty	"SCDC"
"1656353"	name	"valsartan 103 MG"
"1656353"	suppress	"N"
"1656354"	language	"ENG"
"1656354"	rxcui	"1656354"
"1656354"	tty	"SCD"
"1656354"	name	"sacubitril 97 MG / valsartan 103 MG Oral Tablet"
"1656354"	suppress	"N"
"1656354"	synonym	"sacubitril 97 MG / valsartan 103 MG Oral Tablet"
"1656354"	MMX	"131871"
"1656354"	MMSL	"30340"
"1656354"	VANDF	"4034605"
"1656354"	VANDF	"4034605"
"1656354"	VANDF	"4034606"
"1656354"	VANDF	"4034606"
"1656354"	NDDF	"074410"
"1656354"	NDDF	"074410"
"1656354"	NDDF	"074410"
"1656355"	language	"ENG"
"1656355"	rxcui	"1656355"
"1656355"	tty	"SBDC"
"1656355"	name	"sacubitril 97 MG / valsartan 103 MG [Entresto]"
"1656355"	suppress	"N"
"1656356"	MTHSPL	"0078-0696"
"1656356"	language	"ENG"
"1656356"	rxcui	"1656356"
"1656356"	tty	"SBD"
"1656356"	name	"sacubitril 97 MG / valsartan 103 MG Oral Tablet [Entresto]"
"1656356"	suppress	"N"
"1656356"	synonym	"Entresto 97 MG / 103 MG Oral Tablet"
"1656356"	synonym	"Entresto (sacubitril 97 MG / valsartan 103 MG) Oral Tablet"
"1656356"	GS	"90671"
"1656356"	MMX	"131871"
"1656356"	MMSL	"30340"
"1151133"	inverse_isa	"2269573"
"1151131"	inverse_isa	"317541"
"1151133"	inverse_isa	"91058"
"1151133"	inverse_isa	"316995"
"1151131"	inverse_isa	"1998426"
"1656347"	has_ingredient	"1656328"
"1656353"	has_ingredient	"69749"
"317541"	dose_form_of	"805670"
"317541"	dose_form_of	"619300"
"317541"	dose_form_of	"1547951"
"317541"	dose_form_of	"367621"
"317541"	dose_form_of	"864151"
"317541"	dose_form_of	"379560"
"317541"	dose_form_of	"368079"
"317541"	dose_form_of	"369261"
"317541"	dose_form_of	"834238"
"317541"	dose_form_of	"745785"
"317541"	dose_form_of	"827467"
"317541"	dose_form_of	"857418"
"317541"	dose_form_of	"808533"
"317541"	dose_form_of	"579789"
"317541"	dose_form_of	"369548"
"317541"	dose_form_of	"706060"
"317541"	dose_form_of	"801183"
"317541"	dose_form_of	"405885"
"317541"	dose_form_of	"369345"
"317541"	dose_form_of	"385693"
"317541"	dose_form_of	"542677"
"317541"	dose_form_of	"367895"
"317541"	dose_form_of	"368520"
"317541"	dose_form_of	"367810"
"317541"	dose_form_of	"540854"
"317541"	dose_form_of	"368606"
"317541"	dose_form_of	"385811"
"317541"	dose_form_of	"385721"
"317541"	dose_form_of	"369566"
"317541"	dose_form_of	"368289"
"317541"	dose_form_of	"367925"
"317541"	dose_form_of	"368193"
"317541"	dose_form_of	"368077"
"317541"	dose_form_of	"379860"
"317541"	dose_form_of	"379596"
"317541"	dose_form_of	"380827"
"317541"	dose_form_of	"368204"
"317541"	dose_form_of	"367639"
"317541"	dose_form_of	"367750"
"317541"	dose_form_of	"369077"
"317541"	dose_form_of	"578456"
"317541"	dose_form_of	"368170"
"317541"	dose_form_of	"368817"
"317541"	dose_form_of	"369316"
"317541"	dose_form_of	"369180"
"317541"	dose_form_of	"94294"
"317541"	dose_form_of	"1189811"
"317541"	dose_form_of	"967085"
"317541"	dose_form_of	"824185"
"317541"	dose_form_of	"656497"
"317541"	dose_form_of	"386154"
"317541"	dose_form_of	"92084"
"317541"	dose_form_of	"367919"
"317541"	dose_form_of	"584753"
"317541"	dose_form_of	"368913"
"317541"	dose_form_of	"368857"
"317541"	dose_form_of	"92960"
"317541"	dose_form_of	"369331"
"317541"	dose_form_of	"368580"
"317541"	dose_form_of	"544292"
"317541"	dose_form_of	"369492"
"317541"	dose_form_of	"369250"
"317541"	dose_form_of	"406165"
"317541"	dose_form_of	"369056"
"317541"	dose_form_of	"368158"
"317541"	dose_form_of	"386056"
"317541"	dose_form_of	"368418"
"317541"	dose_form_of	"541938"
"317541"	dose_form_of	"381154"
"317541"	dose_form_of	"369268"
"317541"	dose_form_of	"369445"
"317541"	dose_form_of	"367948"
"317541"	dose_form_of	"368004"
"317541"	dose_form_of	"368655"
"317541"	dose_form_of	"385940"
"317541"	dose_form_of	"386017"
"317541"	dose_form_of	"406108"
"317541"	dose_form_of	"369248"
"317541"	dose_form_of	"368767"
"317541"	dose_form_of	"368478"
"317541"	dose_form_of	"368087"
"317541"	dose_form_of	"369042"
"317541"	dose_form_of	"380774"
"317541"	dose_form_of	"368211"
"317541"	dose_form_of	"368801"
"317541"	dose_form_of	"367843"
"317541"	dose_form_of	"369144"
"317541"	dose_form_of	"369538"
"317541"	dose_form_of	"584751"
"317541"	dose_form_of	"367734"
"317541"	dose_form_of	"369494"
"317541"	dose_form_of	"368885"
"317541"	dose_form_of	"369055"
"317541"	dose_form_of	"368878"
"317541"	dose_form_of	"386218"
"317541"	dose_form_of	"386228"
"317541"	dose_form_of	"369328"
"317541"	dose_form_of	"369381"
"317541"	dose_form_of	"368669"
"317541"	dose_form_of	"379840"
"317541"	dose_form_of	"368879"
"317541"	dose_form_of	"368938"
"317541"	dose_form_of	"385848"
"317541"	dose_form_of	"369565"
"317541"	dose_form_of	"367627"
"317541"	dose_form_of	"367742"
"317541"	dose_form_of	"369243"
"317541"	dose_form_of	"368503"
"317541"	dose_form_of	"368986"
"317541"	dose_form_of	"402976"
"317541"	dose_form_of	"405880"
"317541"	dose_form_of	"806287"
"317541"	dose_form_of	"541334"
"317541"	dose_form_of	"369087"
"317541"	dose_form_of	"367785"
"317541"	dose_form_of	"93593"
"317541"	dose_form_of	"369070"
"317541"	dose_form_of	"369069"
"317541"	dose_form_of	"367789"
"317541"	dose_form_of	"381161"
"317541"	dose_form_of	"402927"
"317541"	dose_form_of	"368742"
"317541"	dose_form_of	"541523"
"317541"	dose_form_of	"368017"
"317541"	dose_form_of	"542378"
"317541"	dose_form_of	"368583"
"317541"	dose_form_of	"583112"
"317541"	dose_form_of	"368983"
"317541"	dose_form_of	"368769"
"317541"	dose_form_of	"368548"
"317541"	dose_form_of	"385931"
"317541"	dose_form_of	"368410"
"317541"	dose_form_of	"369469"
"317541"	dose_form_of	"368292"
"317541"	dose_form_of	"368973"
"317541"	dose_form_of	"385682"
"317541"	dose_form_of	"369067"
"317541"	dose_form_of	"368937"
"317541"	dose_form_of	"368180"
"317541"	dose_form_of	"368487"
"317541"	dose_form_of	"367701"
"317541"	dose_form_of	"368897"
"317541"	dose_form_of	"368414"
"317541"	dose_form_of	"368096"
"317541"	dose_form_of	"369404"
"317541"	dose_form_of	"369482"
"317541"	dose_form_of	"367619"
"317541"	dose_form_of	"368152"
"317541"	dose_form_of	"92730"
"317541"	dose_form_of	"385268"
"317541"	dose_form_of	"368451"
