node1	label	node2
PRX_ID_USP	data_type	"external-identifier"
PRX_ID_GS	data_type	"external-identifier"
PRX_ID_VANDF	data_type	"external-identifier"
PRX_ID_MTHSPL	data_type	"external-identifier"
PRX_ID_NDDF	data_type	"external-identifier"
PRX_ID_MMSL	data_type	"external-identifier"
PRX_suppress	data_type	"string"
PRX_ID_MMX	data_type	"external-identifier"
PRX_REL_inverse_isa	data_type	"item"
PRX_REL_has_ingredient	data_type	"item"
PRX_REL_dose_form_of	data_type	"item"
PRX_REL_ingredient_of	data_type	"item"
PRX_REL_isa	data_type	"item"
PRX_REL_doseformgroup_of	data_type	"item"
PRX_REL_has_tradename	data_type	"item"
PRX_REL_tradename_of	data_type	"item"
PRX_REL_has_dose_form	data_type	"item"
PRX_REL_constitutes	data_type	"item"
PRX_REL_ingredients_of	data_type	"item"
PRX_REL_has_doseformgroup	data_type	"item"
PRX_REL_has_ingredients	data_type	"item"
PRX_REL_consists_of	data_type	"item"
PRX_REL_part_of	data_type	"item"
PRX_REL_has_part	data_type	"item"
PRX_ID_NDC 3 Segment	data_type	"external-identifier"
PRX_ID_NDC 2 Segment	data_type	"external-identifier"
PRX_RXN_AVAILABLE_STRENGTH	data_type	"string"
PRX_RXN_BOSS_AM	data_type	"string"
PRX_ID_SPL_SET_ID	data_type	"external-identifier"
PRX_ID_DrugsFDA Application Number	data_type	"external-identifier"
PRX_RXN_BOSS_STRENGTH_NUM_VALUE	data_type	"string"
PRX_RXN_BOSS_STRENGTH_DENOM_UNIT	data_type	"string"
PRX_RXN_BOSS_STRENGTH_DENOM_VALUE	data_type	"string"
PRX_RXN_BOSS_STRENGTH_NUM_UNIT	data_type	"string"
PRX_RXN_BOSS_AI	data_type	"string"
PRX_RXTERM_FORM	data_type	"string"
PRX_RXN_STRENGTH	data_type	"string"
PRX_RXN_HUMAN_DRUG	data_type	"string"
PRX_RXN_BOSS_FROM	data_type	"string"
PRX_ORIG_SOURCE	data_type	"string"
PRX_ORIG_CODE	data_type	"string"
PRX_RXN_BN_CARDINALITY	data_type	"string"
PRX_UMLSAUI	data_type	"string"
