node1	label	node2	id
QRX1656336-P5806-"764145006"-0000	alias	Product containing sacubitril and valsartan in oral dose form (medicinal product form)	QRX1656336-P5806-"764145006"-0000-alias-Product containing sacubitril and valsartan in oral dose form (medicinal product form)-0000
QRX1656336-P5806-"764145006"-0000	alias	Sacubitril- and valsartan-containing product in oral dose form	QRX1656336-P5806-"764145006"-0000-alias-Sacubitril- and valsartan-containing product in oral dose form-0000
QRX1151133-PRX_ID_NDDF-"TX"-0000	alias	PILL	QRX1151133-PRX_ID_NDDF-"TX"-0000-alias-PILL-0000
QRX1656340-PRX_ID_MMSL-"30338"-0000	alias	sacubitril-valsartan 24 mg-26 mg oral tablet	QRX1656340-PRX_ID_MMSL-"30338"-0000-alias-sacubitril-valsartan 24 mg-26 mg oral tablet-0000
QRX1656340-PRX_ID_NDDF-"074408"-0000	alias	sacubitril/valsartan 24 mg-26 mg ORAL TABLET	QRX1656340-PRX_ID_NDDF-"074408"-0000-alias-sacubitril/valsartan 24 mg-26 mg ORAL TABLET-0000
QRX1656340-PRX_ID_NDDF-"074408"-0000	alias	sacubitril/valsartan@24 mg-26 mg@ORAL@TABLET	QRX1656340-PRX_ID_NDDF-"074408"-0000-alias-sacubitril/valsartan@24 mg-26 mg@ORAL@TABLET-0000
QRX1656340-PRX_ID_VANDF-"4034603"-0000	alias	SACUBITRIL 24MG/VALSARTAN 26MG TAB	QRX1656340-PRX_ID_VANDF-"4034603"-0000-alias-SACUBITRIL 24MG/VALSARTAN 26MG TAB-0000
QRX1656346-PRX_ID_GS-"90669"-0000	alias	Entresto 24mg-26mg Tablet	QRX1656346-PRX_ID_GS-"90669"-0000-alias-Entresto 24mg-26mg Tablet-0000
QRX1656346-PRX_ID_MMSL-"30338"-0000	alias	Entresto, 24 mg-26 mg oral tablet	QRX1656346-PRX_ID_MMSL-"30338"-0000-alias-Entresto, 24 mg-26 mg oral tablet-0000
QRX1656346-PRX_ID_MTHSPL-"0078-0659"-0000	alias	SACUBITRIL 24 mg / VALSARTAN 26 mg ORAL TABLET, FILM COATED [ENTRESTO]	QRX1656346-PRX_ID_MTHSPL-"0078-0659"-0000-alias-SACUBITRIL 24 mg / VALSARTAN 26 mg ORAL TABLET, FILM COATED [ENTRESTO]-0000
