node1	label	node2
Q155472	P5806	"108581009"
Q155472	P267	"C09CA03"
Q155472	P3345	"69749"
Q155472	description	'ingredient'@en
Q155472	label	'valsartan'@en
Q155472	P5806	"386876001"
Q155472	P5806	"386876001"
Q155472	P486	"D000068756"
Q155472	P486	"D000068756"
Q155472	P486	"D000068756"
Q155472	P715	"DB00177"
Q155472	P715	"DB00177"
Q155472	P715	"DB00177"
Q155472	P715	"DB00177"
Q155472	P5806	"108581009"
Q17811448	P715	"DB09292"
Q17811448	P3345	"1656328"
Q17811448	description	'ingredient'@en
Q17811448	label	'sacubitril'@en
Q17811448	P5806	"716072000"
Q17811448	P5806	"716072000"
Q17811448	P715	"DB09292"
Q17811448	P486	"C549068"
Q6457467	P5806	"763540002"
Q6457467	P5806	"763540002"
Q6457467	P486	"C549068"
Q6457467	P486	"C549068"
Q6457467	P486	"C549068"
Q6457467	P3345	"1656339"
Q6457467	description	'multiple ingredients'@en
Q6457467	label	'sacubitril / valsartan'@en
Q6457467	P267	"C09DX04"
Q29005800	P3345	"1656341"
Q29005800	description	'brand name'@en
Q29005800	label	'Entresto'@en
Q29005800	P486	"C549068"
Q155472	P2892	"C0216784"
Q155472	P2892	"C0216784"
Q6457467	P2892	"C4033631"
Q155472	P2892	"C0216784"
Q17811448	P2892	"C4033447"
Q17811448	P2892	"C4033447"
Q29005800	P2892	"C4033616"
Q6457467	P2892	"C4033631"
Q6457467	P2892	"C4033631"
Q155472	P2892	"C0216784"
Q17811448	P2892	"C4033447"
Q6457467	P2892	"C4033631"
Q17811448	P2892	"C4033447"
Q29005800	P2892	"C4033616"
Q155472	P2892	"C0216784"
Q155472	P2892	"C0216784"
Q6457467	P2892	"C4033631"
Q155472	P2892	"C0216784"
Q29005800	P2892	"C4033616"
Q155472	P2892	"C0216784"
Q17811448	P2892	"C4033447"
Q155472	P2892	"C0216784"
Q17811448	P2892	"C4033447"
Q155472	P2892	"C0216784"
Q155472	P2892	"C0216784"
Q155472	P2892	"C0216784"
Q155472	P2892	"C0216784"
Q17811448	P2892	"C4033447"
Q17811448	P2892	"C4033447"
Q155472	P2892	"C0216784"
Q155472	P2892	"C0216784"
Q155472	P2892	"C0216784"
Q17811448	P2892	"C4033447"
Q17811448	P2892	"C4033447"
Q6457467	P2892	"C4033631"
Q155472	P2892	"C0216784"
Q17811448	P2892	"C4033447"
Q155472	P2892	"C0216784"
Q155472	P2892	"C0216784"
Q6457467	P2892	"C4033631"
Q6457467	P2892	"C4033631"
Q155472	P2892	"C0216784"
Q155472	P2892	"C0216784"
Q17811448	P2892	"C4033447"
Q155472	P2892	"C0216784"
Q6457467	P2892	"C4033631"
