node1	label	node2
PRX_ID_DrugsFDA Application Number	description	'DrugsFDA Application Number'@en
PRX_ID_DrugsFDA Application Number	label	'DrugsFDA Application Number'@en
PRX_ID_GS	description	'GS'@en
PRX_ID_GS	label	'GS'@en
PRX_ID_MMSL	description	'MMSL'@en
PRX_ID_MMSL	label	'MMSL'@en
PRX_ID_MMX	description	'MMX'@en
PRX_ID_MMX	label	'MMX'@en
PRX_ID_MTHSPL	description	'MTHSPL'@en
PRX_ID_MTHSPL	label	'MTHSPL'@en
PRX_ID_NDC 2 Segment	description	'NDC 2 Segment'@en
PRX_ID_NDC 2 Segment	label	'NDC 2 Segment'@en
PRX_ID_NDC 3 Segment	description	'NDC 3 Segment'@en
PRX_ID_NDC 3 Segment	label	'NDC 3 Segment'@en
PRX_ID_NDDF	description	'NDDF'@en
PRX_ID_NDDF	label	'NDDF'@en
PRX_ID_SPL_SET_ID	description	'SPL_SET_ID'@en
PRX_ID_SPL_SET_ID	label	'SPL_SET_ID'@en
PRX_ID_USP	description	'USP'@en
PRX_ID_USP	label	'USP'@en
PRX_ID_VANDF	description	'VANDF'@en
PRX_ID_VANDF	label	'VANDF'@en
PRX_ORIG_CODE	description	'ORIG_CODE'@en
PRX_ORIG_CODE	label	'ORIG_CODE'@en
PRX_ORIG_SOURCE	description	'ORIG_SOURCE'@en
PRX_ORIG_SOURCE	label	'ORIG_SOURCE'@en
PRX_REL_consists_of	description	'consists_of'@en
PRX_REL_consists_of	label	'consists_of'@en
PRX_REL_constitutes	description	'constitutes'@en
PRX_REL_constitutes	label	'constitutes'@en
PRX_REL_dose_form_of	description	'dose_form_of'@en
PRX_REL_dose_form_of	label	'dose_form_of'@en
PRX_REL_doseformgroup_of	description	'doseformgroup_of'@en
PRX_REL_doseformgroup_of	label	'doseformgroup_of'@en
PRX_REL_has_dose_form	description	'has_dose_form'@en
PRX_REL_has_dose_form	label	'has_dose_form'@en
PRX_REL_has_doseformgroup	description	'has_doseformgroup'@en
PRX_REL_has_doseformgroup	label	'has_doseformgroup'@en
PRX_REL_has_ingredient	description	'has_ingredient'@en
PRX_REL_has_ingredient	label	'has_ingredient'@en
PRX_REL_has_ingredients	description	'has_ingredients'@en
PRX_REL_has_ingredients	label	'has_ingredients'@en
PRX_REL_has_part	description	'has_part'@en
PRX_REL_has_part	label	'has_part'@en
PRX_REL_has_tradename	description	'has_tradename'@en
PRX_REL_has_tradename	label	'has_tradename'@en
PRX_REL_ingredient_of	description	'ingredient_of'@en
PRX_REL_ingredient_of	label	'ingredient_of'@en
PRX_REL_ingredients_of	description	'ingredients_of'@en
PRX_REL_ingredients_of	label	'ingredients_of'@en
PRX_REL_inverse_isa	description	'inverse_isa'@en
PRX_REL_inverse_isa	label	'inverse_isa'@en
PRX_REL_isa	description	'isa'@en
PRX_REL_isa	label	'isa'@en
PRX_REL_part_of	description	'part_of'@en
PRX_REL_part_of	label	'part_of'@en
PRX_REL_tradename_of	description	'tradename_of'@en
PRX_REL_tradename_of	label	'tradename_of'@en
PRX_RXN_AVAILABLE_STRENGTH	description	'RXN_AVAILABLE_STRENGTH'@en
PRX_RXN_AVAILABLE_STRENGTH	label	'RXN_AVAILABLE_STRENGTH'@en
PRX_RXN_BN_CARDINALITY	description	'RXN_BN_CARDINALITY'@en
PRX_RXN_BN_CARDINALITY	label	'RXN_BN_CARDINALITY'@en
PRX_RXN_BOSS_AI	description	'RXN_BOSS_AI'@en
PRX_RXN_BOSS_AI	label	'RXN_BOSS_AI'@en
PRX_RXN_BOSS_AM	description	'RXN_BOSS_AM'@en
PRX_RXN_BOSS_AM	label	'RXN_BOSS_AM'@en
PRX_RXN_BOSS_FROM	description	'RXN_BOSS_FROM'@en
PRX_RXN_BOSS_FROM	label	'RXN_BOSS_FROM'@en
PRX_RXN_BOSS_STRENGTH_DENOM_UNIT	description	'RXN_BOSS_STRENGTH_DENOM_UNIT'@en
PRX_RXN_BOSS_STRENGTH_DENOM_UNIT	label	'RXN_BOSS_STRENGTH_DENOM_UNIT'@en
PRX_RXN_BOSS_STRENGTH_DENOM_VALUE	description	'RXN_BOSS_STRENGTH_DENOM_VALUE'@en
PRX_RXN_BOSS_STRENGTH_DENOM_VALUE	label	'RXN_BOSS_STRENGTH_DENOM_VALUE'@en
PRX_RXN_BOSS_STRENGTH_NUM_UNIT	description	'RXN_BOSS_STRENGTH_NUM_UNIT'@en
PRX_RXN_BOSS_STRENGTH_NUM_UNIT	label	'RXN_BOSS_STRENGTH_NUM_UNIT'@en
PRX_RXN_BOSS_STRENGTH_NUM_VALUE	description	'RXN_BOSS_STRENGTH_NUM_VALUE'@en
PRX_RXN_BOSS_STRENGTH_NUM_VALUE	label	'RXN_BOSS_STRENGTH_NUM_VALUE'@en
PRX_RXN_HUMAN_DRUG	description	'RXN_HUMAN_DRUG'@en
PRX_RXN_HUMAN_DRUG	label	'RXN_HUMAN_DRUG'@en
PRX_RXN_STRENGTH	description	'RXN_STRENGTH'@en
PRX_RXN_STRENGTH	label	'RXN_STRENGTH'@en
PRX_RXTERM_FORM	description	'RXTERM_FORM'@en
PRX_RXTERM_FORM	label	'RXTERM_FORM'@en
PRX_UMLSAUI	description	'UMLSAUI'@en
PRX_UMLSAUI	label	'UMLSAUI'@en
PRX_suppress	description	'suppress'@en
PRX_suppress	label	'suppress'@en
