node1	label	node2
Q155472-PRX_ID_GS-"2608"-0000	alias	Valsartan
Q155472-PRX_ID_MMSL-"53010"-0000	alias	Valsartan
Q155472-PRX_ID_MMSL-"53010"-0000	alias	valsartan
Q155472-PRX_ID_MMSL-"5663"-0000	alias	Valsartan
Q155472-PRX_ID_MMSL-"5663"-0000	alias	valsartan
Q155472-PRX_ID_MMSL-"d04113"-0000	alias	Valsartan
Q155472-PRX_ID_MMSL-"d04113"-0000	alias	valsartan
Q155472-PRX_ID_MTHSPL-"80M03YXJ7I"-0000	alias	VALSARTAN
Q155472-PRX_ID_MTHSPL-"80M03YXJ7I"-0000	alias	Valsartan
Q155472-PRX_ID_NDDF-"006279"-0000	alias	valsartan
Q155472-PRX_ID_VANDF-"4020986"-0000	alias	VALSARTAN
Q17811448-PRX_ID_GS-"5469"-0000	alias	Sacubitril
Q17811448-PRX_ID_MMSL-"31106"-0000	alias	sacubitril
Q17811448-PRX_ID_MMSL-"d08368"-0000	alias	sacubitril
Q17811448-PRX_ID_MTHSPL-"17ERJ0MKGI"-0000	alias	SACUBITRIL
Q17811448-PRX_ID_NDDF-"016257"-0000	alias	sacubitril
Q17811448-PRX_ID_VANDF-"4034598"-0000	alias	SACUBITRIL
Q29005800-PRX_ID_MMSL-"234762"-0000	alias	Entresto
Q6457467-PRX_ID_MMSL-"d08369"-0000	alias	sacubitril-valsartan
Q6457467-PRX_ID_VANDF-"4034599"-0000	alias	SACUBITRIL/VALSARTAN
