node1	label	node2
QRX1151133-PRX_ID_NDDF-"TX"-0000	alias	PILL
QRX1656340-PRX_ID_MMSL-"30338"-0000	alias	sacubitril-valsartan 24 mg-26 mg oral tablet
QRX1656340-PRX_ID_NDDF-"074408"-0000	alias	sacubitril/valsartan 24 mg-26 mg ORAL TABLET
QRX1656340-PRX_ID_NDDF-"074408"-0000	alias	sacubitril/valsartan@24 mg-26 mg@ORAL@TABLET
QRX1656340-PRX_ID_VANDF-"4034603"-0000	alias	SACUBITRIL 24MG/VALSARTAN 26MG TAB
QRX1656346-PRX_ID_GS-"90669"-0000	alias	Entresto 24mg-26mg Tablet
QRX1656346-PRX_ID_MMSL-"30338"-0000	alias	Entresto, 24 mg-26 mg oral tablet
QRX1656346-PRX_ID_MTHSPL-"0078-0659"-0000	alias	SACUBITRIL 24 mg / VALSARTAN 26 mg ORAL TABLET, FILM COATED [ENTRESTO]
QRX1656349-PRX_ID_MMSL-"30339"-0000	alias	sacubitril-valsartan 49 mg-51 mg oral tablet
QRX1656349-PRX_ID_NDDF-"074409"-0000	alias	sacubitril/valsartan 49 mg-51 mg ORAL TABLET
QRX1656349-PRX_ID_NDDF-"074409"-0000	alias	sacubitril/valsartan@49 mg-51 mg@ORAL@TABLET
QRX1656349-PRX_ID_VANDF-"4034604"-0000	alias	SACUBITRIL 49MG/VALSARTAN 51MG TAB
QRX1656349-PRX_ID_VANDF-"4034604"-0000	alias	SACUBITRIL 49MG/VALSARTAN 51MG TAB UD
QRX1656349-PRX_ID_VANDF-"4034604"-0000	alias	SACUBITRIL 49MG/VALSARTAN 51MG TAB,UD
QRX1656349-PRX_ID_VANDF-"4034607"-0000	alias	SACUBITRIL 49MG/VALSARTAN 51MG TAB
QRX1656349-PRX_ID_VANDF-"4034607"-0000	alias	SACUBITRIL 49MG/VALSARTAN 51MG TAB UD
QRX1656349-PRX_ID_VANDF-"4034607"-0000	alias	SACUBITRIL 49MG/VALSARTAN 51MG TAB,UD
QRX1656351-PRX_ID_GS-"90670"-0000	alias	Entresto 49mg-51mg Tablet
QRX1656351-PRX_ID_MMSL-"30339"-0000	alias	Entresto, 49 mg-51 mg oral tablet
QRX1656351-PRX_ID_MTHSPL-"0078-0777"-0000	alias	SACUBITRIL 49 mg / VALSARTAN 51 mg ORAL TABLET, FILM COATED [ENTRESTO]
QRX1656354-PRX_ID_MMSL-"30340"-0000	alias	sacubitril-valsartan 97 mg-103 mg oral tablet
QRX1656354-PRX_ID_NDDF-"074410"-0000	alias	sacubitril/valsartan 97 mg-103 mg ORAL TABLET
QRX1656354-PRX_ID_NDDF-"074410"-0000	alias	sacubitril/valsartan@97 mg-103 mg@ORAL@TABLET
QRX1656354-PRX_ID_VANDF-"4034605"-0000	alias	SACUBITRIL 97MG/VALSARTAN 103MG TAB
QRX1656354-PRX_ID_VANDF-"4034605"-0000	alias	SACUBITRIL 97MG/VALSARTAN 103MG TAB UD
QRX1656354-PRX_ID_VANDF-"4034605"-0000	alias	SACUBITRIL 97MG/VALSARTAN 103MG TAB,UD
QRX1656354-PRX_ID_VANDF-"4034606"-0000	alias	SACUBITRIL 97MG/VALSARTAN 103MG TAB
QRX1656354-PRX_ID_VANDF-"4034606"-0000	alias	SACUBITRIL 97MG/VALSARTAN 103MG TAB UD
QRX1656354-PRX_ID_VANDF-"4034606"-0000	alias	SACUBITRIL 97MG/VALSARTAN 103MG TAB,UD
QRX1656356-PRX_ID_GS-"90671"-0000	alias	Entresto 97mg-103mg Tablet
QRX1656356-PRX_ID_MMSL-"30340"-0000	alias	Entresto, 97 mg-103 mg oral tablet
QRX1656356-PRX_ID_MTHSPL-"0078-0696"-0000	alias	SACUBITRIL 97 mg / VALSARTAN 103 mg ORAL TABLET, FILM COATED [ENTRESTO]
