node1	label	node2	id
QRX1151131	PRX_REL_doseformgroup_of	QRX1151144	QRX1151131-PRX_REL_doseformgroup_of-QRX1151144-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151146	QRX1151131-PRX_REL_doseformgroup_of-QRX1151146-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151152	QRX1151131-PRX_REL_doseformgroup_of-QRX1151152-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151157	QRX1151131-PRX_REL_doseformgroup_of-QRX1151157-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151160	QRX1151131-PRX_REL_doseformgroup_of-QRX1151160-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151164	QRX1151131-PRX_REL_doseformgroup_of-QRX1151164-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151168	QRX1151131-PRX_REL_doseformgroup_of-QRX1151168-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151171	QRX1151131-PRX_REL_doseformgroup_of-QRX1151171-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151175	QRX1151131-PRX_REL_doseformgroup_of-QRX1151175-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151177	QRX1151131-PRX_REL_doseformgroup_of-QRX1151177-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151180	QRX1151131-PRX_REL_doseformgroup_of-QRX1151180-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151181	QRX1151131-PRX_REL_doseformgroup_of-QRX1151181-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151184	QRX1151131-PRX_REL_doseformgroup_of-QRX1151184-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151186	QRX1151131-PRX_REL_doseformgroup_of-QRX1151186-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151188	QRX1151131-PRX_REL_doseformgroup_of-QRX1151188-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151191	QRX1151131-PRX_REL_doseformgroup_of-QRX1151191-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151194	QRX1151131-PRX_REL_doseformgroup_of-QRX1151194-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151196	QRX1151131-PRX_REL_doseformgroup_of-QRX1151196-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151198	QRX1151131-PRX_REL_doseformgroup_of-QRX1151198-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151201	QRX1151131-PRX_REL_doseformgroup_of-QRX1151201-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151204	QRX1151131-PRX_REL_doseformgroup_of-QRX1151204-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151207	QRX1151131-PRX_REL_doseformgroup_of-QRX1151207-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151209	QRX1151131-PRX_REL_doseformgroup_of-QRX1151209-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151211	QRX1151131-PRX_REL_doseformgroup_of-QRX1151211-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151213	QRX1151131-PRX_REL_doseformgroup_of-QRX1151213-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151215	QRX1151131-PRX_REL_doseformgroup_of-QRX1151215-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151218	QRX1151131-PRX_REL_doseformgroup_of-QRX1151218-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151220	QRX1151131-PRX_REL_doseformgroup_of-QRX1151220-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151223	QRX1151131-PRX_REL_doseformgroup_of-QRX1151223-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151225	QRX1151131-PRX_REL_doseformgroup_of-QRX1151225-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151229	QRX1151131-PRX_REL_doseformgroup_of-QRX1151229-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151231	QRX1151131-PRX_REL_doseformgroup_of-QRX1151231-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151234	QRX1151131-PRX_REL_doseformgroup_of-QRX1151234-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151237	QRX1151131-PRX_REL_doseformgroup_of-QRX1151237-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151241	QRX1151131-PRX_REL_doseformgroup_of-QRX1151241-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151244	QRX1151131-PRX_REL_doseformgroup_of-QRX1151244-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151246	QRX1151131-PRX_REL_doseformgroup_of-QRX1151246-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151248	QRX1151131-PRX_REL_doseformgroup_of-QRX1151248-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151251	QRX1151131-PRX_REL_doseformgroup_of-QRX1151251-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151254	QRX1151131-PRX_REL_doseformgroup_of-QRX1151254-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151257	QRX1151131-PRX_REL_doseformgroup_of-QRX1151257-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151260	QRX1151131-PRX_REL_doseformgroup_of-QRX1151260-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151263	QRX1151131-PRX_REL_doseformgroup_of-QRX1151263-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151265	QRX1151131-PRX_REL_doseformgroup_of-QRX1151265-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151267	QRX1151131-PRX_REL_doseformgroup_of-QRX1151267-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151271	QRX1151131-PRX_REL_doseformgroup_of-QRX1151271-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151273	QRX1151131-PRX_REL_doseformgroup_of-QRX1151273-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151275	QRX1151131-PRX_REL_doseformgroup_of-QRX1151275-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151281	QRX1151131-PRX_REL_doseformgroup_of-QRX1151281-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151283	QRX1151131-PRX_REL_doseformgroup_of-QRX1151283-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151285	QRX1151131-PRX_REL_doseformgroup_of-QRX1151285-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151286	QRX1151131-PRX_REL_doseformgroup_of-QRX1151286-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151287	QRX1151131-PRX_REL_doseformgroup_of-QRX1151287-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151289	QRX1151131-PRX_REL_doseformgroup_of-QRX1151289-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151291	QRX1151131-PRX_REL_doseformgroup_of-QRX1151291-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151296	QRX1151131-PRX_REL_doseformgroup_of-QRX1151296-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151298	QRX1151131-PRX_REL_doseformgroup_of-QRX1151298-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151300	QRX1151131-PRX_REL_doseformgroup_of-QRX1151300-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151302	QRX1151131-PRX_REL_doseformgroup_of-QRX1151302-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151304	QRX1151131-PRX_REL_doseformgroup_of-QRX1151304-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151306	QRX1151131-PRX_REL_doseformgroup_of-QRX1151306-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151309	QRX1151131-PRX_REL_doseformgroup_of-QRX1151309-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151312	QRX1151131-PRX_REL_doseformgroup_of-QRX1151312-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151319	QRX1151131-PRX_REL_doseformgroup_of-QRX1151319-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151321	QRX1151131-PRX_REL_doseformgroup_of-QRX1151321-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151325	QRX1151131-PRX_REL_doseformgroup_of-QRX1151325-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151338	QRX1151131-PRX_REL_doseformgroup_of-QRX1151338-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151343	QRX1151131-PRX_REL_doseformgroup_of-QRX1151343-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151345	QRX1151131-PRX_REL_doseformgroup_of-QRX1151345-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151349	QRX1151131-PRX_REL_doseformgroup_of-QRX1151349-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151357	QRX1151131-PRX_REL_doseformgroup_of-QRX1151357-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151359	QRX1151131-PRX_REL_doseformgroup_of-QRX1151359-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151362	QRX1151131-PRX_REL_doseformgroup_of-QRX1151362-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151365	QRX1151131-PRX_REL_doseformgroup_of-QRX1151365-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151372	QRX1151131-PRX_REL_doseformgroup_of-QRX1151372-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151375	QRX1151131-PRX_REL_doseformgroup_of-QRX1151375-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151384	QRX1151131-PRX_REL_doseformgroup_of-QRX1151384-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151389	QRX1151131-PRX_REL_doseformgroup_of-QRX1151389-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151392	QRX1151131-PRX_REL_doseformgroup_of-QRX1151392-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151395	QRX1151131-PRX_REL_doseformgroup_of-QRX1151395-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151399	QRX1151131-PRX_REL_doseformgroup_of-QRX1151399-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151401	QRX1151131-PRX_REL_doseformgroup_of-QRX1151401-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151403	QRX1151131-PRX_REL_doseformgroup_of-QRX1151403-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151405	QRX1151131-PRX_REL_doseformgroup_of-QRX1151405-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151407	QRX1151131-PRX_REL_doseformgroup_of-QRX1151407-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151409	QRX1151131-PRX_REL_doseformgroup_of-QRX1151409-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151411	QRX1151131-PRX_REL_doseformgroup_of-QRX1151411-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151414	QRX1151131-PRX_REL_doseformgroup_of-QRX1151414-0000
QRX1151131	PRX_REL_doseformgroup_of	QRX1151416	QRX1151131-PRX_REL_doseformgroup_of-QRX1151416-0000
