node1	label	node2	id
Q155472-P267-"C09CA03"-0000	alias	valsartan	Q155472-P267-"C09CA03"-0000-alias-valsartan-0000
Q155472-P486-"D000068756"-0000	alias	L-Valine, N-(1-oxopentyl)-N-((2'-(1H-tetrazol-5-yl)(1,1'-biphenyl)-4-yl)methyl)-	Q155472-P486-"D000068756"-0000-alias-L-Valine, N-(1-oxopentyl)-N-((2'-(1H-tetrazol-5-yl)(1,1'-biphenyl)-4-yl)methyl)--0000
Q155472-P486-"D000068756"-0000	alias	N-valeryl-N-((2'-(1H-tetrazol-5-yl)biphenyl-4-yl)methyl)valine	Q155472-P486-"D000068756"-0000-alias-N-valeryl-N-((2'-(1H-tetrazol-5-yl)biphenyl-4-yl)methyl)valine-0000
Q155472-P486-"D000068756"-0000	alias	Valsartan	Q155472-P486-"D000068756"-0000-alias-Valsartan-0000
Q155472-P5806-"108581009"-0000	alias	Product containing valsartan (medicinal product)	Q155472-P5806-"108581009"-0000-alias-Product containing valsartan (medicinal product)-0000
Q155472-P5806-"108581009"-0000	alias	Valsartan	Q155472-P5806-"108581009"-0000-alias-Valsartan-0000
Q155472-P5806-"108581009"-0000	alias	Valsartan (substance)	Q155472-P5806-"108581009"-0000-alias-Valsartan (substance)-0000
Q155472-P5806-"108581009"-0000	alias	Valsartan-containing product	Q155472-P5806-"108581009"-0000-alias-Valsartan-containing product-0000
Q155472-P5806-"386876001"-0000	alias	Product containing valsartan (medicinal product)	Q155472-P5806-"386876001"-0000-alias-Product containing valsartan (medicinal product)-0000
Q155472-P5806-"386876001"-0000	alias	Valsartan	Q155472-P5806-"386876001"-0000-alias-Valsartan-0000
Q155472-P5806-"386876001"-0000	alias	Valsartan (substance)	Q155472-P5806-"386876001"-0000-alias-Valsartan (substance)-0000
Q155472-P5806-"386876001"-0000	alias	Valsartan-containing product	Q155472-P5806-"386876001"-0000-alias-Valsartan-containing product-0000
Q155472-P715-"DB00177"-0000	alias	(S)-N-Valeryl-N-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]-methyl}-valine	Q155472-P715-"DB00177"-0000-alias-(S)-N-Valeryl-N-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]-methyl}-valine-0000
Q155472-P715-"DB00177"-0000	alias	N-(P-(O-1H-Tetrazol-5-ylphenyl)benzyl)-N-valeryl-L-valine	Q155472-P715-"DB00177"-0000-alias-N-(P-(O-1H-Tetrazol-5-ylphenyl)benzyl)-N-valeryl-L-valine-0000
Q155472-P715-"DB00177"-0000	alias	N-pentanoyl-N-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]methyl}-L-valine	Q155472-P715-"DB00177"-0000-alias-N-pentanoyl-N-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]methyl}-L-valine-0000
Q155472-P715-"DB00177"-0000	alias	Valsartan	Q155472-P715-"DB00177"-0000-alias-Valsartan-0000
Q17811448-P486-"C549068"-0000	alias	sacubitril	Q17811448-P486-"C549068"-0000-alias-sacubitril-0000
Q17811448-P5806-"716072000"-0000	alias	Sacubitril	Q17811448-P5806-"716072000"-0000-alias-Sacubitril-0000
Q17811448-P5806-"716072000"-0000	alias	Sacubitril (substance)	Q17811448-P5806-"716072000"-0000-alias-Sacubitril (substance)-0000
Q17811448-P715-"DB09292"-0000	alias	Sacubitril	Q17811448-P715-"DB09292"-0000-alias-Sacubitril-0000
Q17811448-P715-"DB09292"-0000	alias	Sacubitrilo	Q17811448-P715-"DB09292"-0000-alias-Sacubitrilo-0000
Q29005800-P486-"C549068"-0000	alias	entresto	Q29005800-P486-"C549068"-0000-alias-entresto-0000
Q6457467-P267-"C09DX04"-0000	alias	valsartan and sacubitril	Q6457467-P267-"C09DX04"-0000-alias-valsartan and sacubitril-0000
Q6457467-P486-"C549068"-0000	alias	sacubitril valsartan drug combination	Q6457467-P486-"C549068"-0000-alias-sacubitril valsartan drug combination-0000
Q6457467-P486-"C549068"-0000	alias	sacubitril valsartan sodium hydrate	Q6457467-P486-"C549068"-0000-alias-sacubitril valsartan sodium hydrate-0000
Q6457467-P486-"C549068"-0000	alias	sacubitril-valsartan	Q6457467-P486-"C549068"-0000-alias-sacubitril-valsartan-0000
Q6457467-P5806-"763540002"-0000	alias	Product containing sacubitril and valsartan (medicinal product)	Q6457467-P5806-"763540002"-0000-alias-Product containing sacubitril and valsartan (medicinal product)-0000
Q6457467-P5806-"763540002"-0000	alias	Sacubitril- and valsartan-containing product	Q6457467-P5806-"763540002"-0000-alias-Sacubitril- and valsartan-containing product-0000
